"","CondRules","ResRules","Support","Confidence","Lift"
"776","EVENT_READ,EVENT_CONNECT","EVENT_LSEEK,EVENT_MMAP",10.03,98.76,1.449
"777","EVENT_READ,EVENT_MMAP","EVENT_LSEEK,EVENT_CONNECT",10.03,14.7,1.447
"778","EVENT_READ,EVENT_LSEEK","EVENT_MMAP,EVENT_CONNECT",10.03,14.68,1.464
"779","EVENT_CONNECT","EVENT_READ,EVENT_LSEEK,EVENT_MMAP",10.03,98.59,1.446
"780","EVENT_MMAP","EVENT_READ,EVENT_LSEEK,EVENT_CONNECT",10.03,14.69,1.447
"781","EVENT_LSEEK","EVENT_READ,EVENT_MMAP,EVENT_CONNECT",10.03,14.68,1.463
"782","EVENT_READ","EVENT_LSEEK,EVENT_MMAP,EVENT_CONNECT",10.03,10.09,1.006
"783","EVENT_LSEEK,EVENT_MMAP,EVENT_CLOSE","EVENT_READ",28.25,100,1.006
"784","EVENT_READ,EVENT_MMAP,EVENT_CLOSE","EVENT_LSEEK",28.25,99.78,1.46
"785","EVENT_READ,EVENT_LSEEK,EVENT_CLOSE","EVENT_MMAP",28.25,99.9,1.463
"786","EVENT_READ,EVENT_LSEEK,EVENT_MMAP","EVENT_CLOSE",28.25,41.44,0.806
"787","EVENT_MMAP,EVENT_CLOSE","EVENT_READ,EVENT_LSEEK",28.25,99.74,1.46
"788","EVENT_LSEEK,EVENT_CLOSE","EVENT_READ,EVENT_MMAP",28.25,99.9,1.464
"789","EVENT_LSEEK,EVENT_MMAP","EVENT_READ,EVENT_CLOSE",28.25,41.44,0.807
"790","EVENT_READ,EVENT_CLOSE","EVENT_LSEEK,EVENT_MMAP",28.25,54.98,0.807
"791","EVENT_READ,EVENT_MMAP","EVENT_LSEEK,EVENT_CLOSE",28.25,41.4,1.464
"792","EVENT_READ,EVENT_LSEEK","EVENT_MMAP,EVENT_CLOSE",28.25,41.34,1.46
"793","EVENT_CLOSE","EVENT_READ,EVENT_LSEEK,EVENT_MMAP",28.25,54.95,0.806
"794","EVENT_MMAP","EVENT_READ,EVENT_LSEEK,EVENT_CLOSE",28.25,41.35,1.463
"795","EVENT_LSEEK","EVENT_READ,EVENT_MMAP,EVENT_CLOSE",28.25,41.33,1.46
"796","EVENT_READ","EVENT_LSEEK,EVENT_MMAP,EVENT_CLOSE",28.25,28.41,1.006
"797","EVENT_LSEEK,EVENT_MMAP,EVENT_CHANGE_PRINCIPAL","EVENT_READ",12.6,100,1.006
"798","EVENT_READ,EVENT_MMAP,EVENT_CHANGE_PRINCIPAL","EVENT_LSEEK",12.6,99.95,1.463
"799","EVENT_READ,EVENT_LSEEK,EVENT_CHANGE_PRINCIPAL","EVENT_MMAP",12.6,99.91,1.463
"800","EVENT_READ,EVENT_LSEEK,EVENT_MMAP","EVENT_CHANGE_PRINCIPAL",12.6,18.48,1.464
"801","EVENT_MMAP,EVENT_CHANGE_PRINCIPAL","EVENT_READ,EVENT_LSEEK",12.6,99.95,1.463
"802","EVENT_LSEEK,EVENT_CHANGE_PRINCIPAL","EVENT_READ,EVENT_MMAP",12.6,99.86,1.464
"803","EVENT_LSEEK,EVENT_MMAP","EVENT_READ,EVENT_CHANGE_PRINCIPAL",12.6,18.48,1.464
"804","EVENT_READ,EVENT_CHANGE_PRINCIPAL","EVENT_LSEEK,EVENT_MMAP",12.6,99.82,1.464
"805","EVENT_READ,EVENT_MMAP","EVENT_LSEEK,EVENT_CHANGE_PRINCIPAL",12.6,18.46,1.464
"806","EVENT_READ,EVENT_LSEEK","EVENT_MMAP,EVENT_CHANGE_PRINCIPAL",12.6,18.44,1.463
"807","EVENT_CHANGE_PRINCIPAL","EVENT_READ,EVENT_LSEEK,EVENT_MMAP",12.6,99.77,1.464
"808","EVENT_MMAP","EVENT_READ,EVENT_LSEEK,EVENT_CHANGE_PRINCIPAL",12.6,18.45,1.463
"809","EVENT_LSEEK","EVENT_READ,EVENT_MMAP,EVENT_CHANGE_PRINCIPAL",12.6,18.44,1.463
"810","EVENT_READ","EVENT_LSEEK,EVENT_MMAP,EVENT_CHANGE_PRINCIPAL",12.6,12.67,1.006
"811","EVENT_LSEEK,EVENT_CREATE_OBJECT,EVENT_CONNECT","EVENT_READ",10.15,99.94,1.005
"812","EVENT_READ,EVENT_CREATE_OBJECT,EVENT_CONNECT","EVENT_LSEEK",10.15,99.94,1.462
"813","EVENT_READ,EVENT_LSEEK,EVENT_CONNECT","EVENT_CREATE_OBJECT",10.15,100,7.55
"814","EVENT_READ,EVENT_LSEEK,EVENT_CREATE_OBJECT","EVENT_CONNECT",10.15,77.04,7.572
"815","EVENT_CREATE_OBJECT,EVENT_CONNECT","EVENT_READ,EVENT_LSEEK",10.15,99.78,1.46
"816","EVENT_LSEEK,EVENT_CONNECT","EVENT_READ,EVENT_CREATE_OBJECT",10.15,99.94,7.562
"817","EVENT_LSEEK,EVENT_CREATE_OBJECT","EVENT_READ,EVENT_CONNECT",10.15,77.01,7.581
"818","EVENT_READ,EVENT_CONNECT","EVENT_LSEEK,EVENT_CREATE_OBJECT",10.15,99.94,7.581
"819","EVENT_READ,EVENT_CREATE_OBJECT","EVENT_LSEEK,EVENT_CONNECT",10.15,76.81,7.562
"820","EVENT_READ,EVENT_LSEEK","EVENT_CREATE_OBJECT,EVENT_CONNECT",10.15,14.86,1.46
"821","EVENT_CONNECT","EVENT_READ,EVENT_LSEEK,EVENT_CREATE_OBJECT",10.15,99.78,7.572
"822","EVENT_CREATE_OBJECT","EVENT_READ,EVENT_LSEEK,EVENT_CONNECT",10.15,76.64,7.55
"823","EVENT_LSEEK","EVENT_READ,EVENT_CREATE_OBJECT,EVENT_CONNECT",10.15,14.85,1.462
"824","EVENT_READ","EVENT_LSEEK,EVENT_CREATE_OBJECT,EVENT_CONNECT",10.15,10.21,1.005
"825","EVENT_LSEEK,EVENT_CREATE_OBJECT,EVENT_CLOSE","EVENT_READ",12.82,100,1.006
"826","EVENT_READ,EVENT_CREATE_OBJECT,EVENT_CLOSE","EVENT_LSEEK",12.82,99.96,1.463
"827","EVENT_READ,EVENT_LSEEK,EVENT_CLOSE","EVENT_CREATE_OBJECT",12.82,45.35,3.424
"828","EVENT_READ,EVENT_LSEEK,EVENT_CREATE_OBJECT","EVENT_CLOSE",12.82,97.31,1.893
"829","EVENT_CREATE_OBJECT,EVENT_CLOSE","EVENT_READ,EVENT_LSEEK",12.82,99.96,1.463
"830","EVENT_LSEEK,EVENT_CLOSE","EVENT_READ,EVENT_CREATE_OBJECT",12.82,45.35,3.431
"831","EVENT_LSEEK,EVENT_CREATE_OBJECT","EVENT_READ,EVENT_CLOSE",12.82,97.27,1.893
"832","EVENT_READ,EVENT_CLOSE","EVENT_LSEEK,EVENT_CREATE_OBJECT",12.82,24.96,1.893
"833","EVENT_READ,EVENT_CREATE_OBJECT","EVENT_LSEEK,EVENT_CLOSE",12.82,97.01,3.431
"834","EVENT_READ,EVENT_LSEEK","EVENT_CREATE_OBJECT,EVENT_CLOSE",12.82,18.77,1.463
"835","EVENT_CLOSE","EVENT_READ,EVENT_LSEEK,EVENT_CREATE_OBJECT",12.82,24.94,1.893
"836","EVENT_CREATE_OBJECT","EVENT_READ,EVENT_LSEEK,EVENT_CLOSE",12.82,96.8,3.424
"837","EVENT_LSEEK","EVENT_READ,EVENT_CREATE_OBJECT,EVENT_CLOSE",12.82,18.76,1.463
"838","EVENT_READ","EVENT_LSEEK,EVENT_CREATE_OBJECT,EVENT_CLOSE",12.82,12.9,1.006
"839","EVENT_LSEEK,EVENT_CREATE_OBJECT,EVENT_CHANGE_PRINCIPAL","EVENT_READ",12.07,99.95,1.005
"840","EVENT_READ,EVENT_CREATE_OBJECT,EVENT_CHANGE_PRINCIPAL","EVENT_LSEEK",12.07,99.95,1.463
"841","EVENT_READ,EVENT_LSEEK,EVENT_CHANGE_PRINCIPAL","EVENT_CREATE_OBJECT",12.07,95.69,7.224
"842","EVENT_READ,EVENT_LSEEK,EVENT_CREATE_OBJECT","EVENT_CHANGE_PRINCIPAL",12.07,91.58,7.252
"843","EVENT_CREATE_OBJECT,EVENT_CHANGE_PRINCIPAL","EVENT_READ,EVENT_LSEEK",12.07,99.91,1.462
"844","EVENT_LSEEK,EVENT_CHANGE_PRINCIPAL","EVENT_READ,EVENT_CREATE_OBJECT",12.07,95.65,7.237
"845","EVENT_LSEEK,EVENT_CREATE_OBJECT","EVENT_READ,EVENT_CHANGE_PRINCIPAL",12.07,91.54,7.252
"846","EVENT_READ,EVENT_CHANGE_PRINCIPAL","EVENT_LSEEK,EVENT_CREATE_OBJECT",12.07,95.6,7.252
"847","EVENT_READ,EVENT_CREATE_OBJECT","EVENT_LSEEK,EVENT_CHANGE_PRINCIPAL",12.07,91.3,7.237
"848","EVENT_READ,EVENT_LSEEK","EVENT_CREATE_OBJECT,EVENT_CHANGE_PRINCIPAL",12.07,17.66,1.462
"849","EVENT_CHANGE_PRINCIPAL","EVENT_READ,EVENT_LSEEK,EVENT_CREATE_OBJECT",12.07,95.56,7.252
"850","EVENT_CREATE_OBJECT","EVENT_READ,EVENT_LSEEK,EVENT_CHANGE_PRINCIPAL",12.07,91.11,7.224
"851","EVENT_LSEEK","EVENT_READ,EVENT_CREATE_OBJECT,EVENT_CHANGE_PRINCIPAL",12.07,17.66,1.463
"852","EVENT_READ","EVENT_LSEEK,EVENT_CREATE_OBJECT,EVENT_CHANGE_PRINCIPAL",12.07,12.14,1.005
"853","EVENT_LSEEK,EVENT_CONNECT,EVENT_CLOSE","EVENT_READ",10.01,100,1.006
"854","EVENT_READ,EVENT_CONNECT,EVENT_CLOSE","EVENT_LSEEK",10.01,100,1.463
"855","EVENT_READ,EVENT_LSEEK,EVENT_CLOSE","EVENT_CONNECT",10.01,35.4,3.479
"856","EVENT_READ,EVENT_LSEEK,EVENT_CONNECT","EVENT_CLOSE",10.01,98.59,1.918
"857","EVENT_CONNECT,EVENT_CLOSE","EVENT_READ,EVENT_LSEEK",10.01,100,1.464
"858","EVENT_LSEEK,EVENT_CLOSE","EVENT_READ,EVENT_CONNECT",10.01,35.4,3.485
"859","EVENT_LSEEK,EVENT_CONNECT","EVENT_READ,EVENT_CLOSE",10.01,98.54,1.918
"860","EVENT_READ,EVENT_CLOSE","EVENT_LSEEK,EVENT_CONNECT",10.01,19.48,1.918
"861","EVENT_READ,EVENT_CONNECT","EVENT_LSEEK,EVENT_CLOSE",10.01,98.54,3.485
"862","EVENT_READ,EVENT_LSEEK","EVENT_CONNECT,EVENT_CLOSE",10.01,14.65,1.464
"863","EVENT_CLOSE","EVENT_READ,EVENT_LSEEK,EVENT_CONNECT",10.01,19.47,1.918
"864","EVENT_CONNECT","EVENT_READ,EVENT_LSEEK,EVENT_CLOSE",10.01,98.37,3.479
"865","EVENT_LSEEK","EVENT_READ,EVENT_CONNECT,EVENT_CLOSE",10.01,14.65,1.463
"866","EVENT_READ","EVENT_LSEEK,EVENT_CONNECT,EVENT_CLOSE",10.01,10.07,1.006
"867","EVENT_LSEEK,EVENT_CLOSE,EVENT_CHANGE_PRINCIPAL","EVENT_READ",12.44,100,1.006
"868","EVENT_READ,EVENT_CLOSE,EVENT_CHANGE_PRINCIPAL","EVENT_LSEEK",12.44,99.95,1.463
"869","EVENT_READ,EVENT_LSEEK,EVENT_CHANGE_PRINCIPAL","EVENT_CLOSE",12.44,98.64,1.919
"870","EVENT_READ,EVENT_LSEEK,EVENT_CLOSE","EVENT_CHANGE_PRINCIPAL",12.44,43.99,3.484
"871","EVENT_CLOSE,EVENT_CHANGE_PRINCIPAL","EVENT_READ,EVENT_LSEEK",12.44,99.95,1.463
"872","EVENT_LSEEK,EVENT_CHANGE_PRINCIPAL","EVENT_READ,EVENT_CLOSE",12.44,98.59,1.919
"873","EVENT_LSEEK,EVENT_CLOSE","EVENT_READ,EVENT_CHANGE_PRINCIPAL",12.44,43.99,3.485
"874","EVENT_READ,EVENT_CHANGE_PRINCIPAL","EVENT_LSEEK,EVENT_CLOSE",12.44,98.55,3.485
"875","EVENT_READ,EVENT_CLOSE","EVENT_LSEEK,EVENT_CHANGE_PRINCIPAL",12.44,24.21,1.919
"876","EVENT_READ,EVENT_LSEEK","EVENT_CLOSE,EVENT_CHANGE_PRINCIPAL",12.44,18.21,1.463
"877","EVENT_CHANGE_PRINCIPAL","EVENT_READ,EVENT_LSEEK,EVENT_CLOSE",12.44,98.51,3.484
"878","EVENT_CLOSE","EVENT_READ,EVENT_LSEEK,EVENT_CHANGE_PRINCIPAL",12.44,24.2,1.919
"879","EVENT_LSEEK","EVENT_READ,EVENT_CLOSE,EVENT_CHANGE_PRINCIPAL",12.44,18.2,1.463
"880","EVENT_READ","EVENT_LSEEK,EVENT_CLOSE,EVENT_CHANGE_PRINCIPAL",12.44,12.51,1.006
"881","EVENT_MMAP,EVENT_CREATE_OBJECT,EVENT_CONNECT","EVENT_READ",10.03,100,1.006
"882","EVENT_READ,EVENT_CREATE_OBJECT,EVENT_CONNECT","EVENT_MMAP",10.03,98.76,1.446
"883","EVENT_READ,EVENT_MMAP,EVENT_CONNECT","EVENT_CREATE_OBJECT",10.03,100,7.55
"884","EVENT_READ,EVENT_MMAP,EVENT_CREATE_OBJECT","EVENT_CONNECT",10.03,76.8,7.548
"885","EVENT_CREATE_OBJECT,EVENT_CONNECT","EVENT_READ,EVENT_MMAP",10.03,98.59,1.445
"886","EVENT_MMAP,EVENT_CONNECT","EVENT_READ,EVENT_CREATE_OBJECT",10.03,100,7.566
"887","EVENT_MMAP,EVENT_CREATE_OBJECT","EVENT_READ,EVENT_CONNECT",10.03,76.8,7.561
"888","EVENT_READ,EVENT_CONNECT","EVENT_MMAP,EVENT_CREATE_OBJECT",10.03,98.76,7.561
"889","EVENT_READ,EVENT_CREATE_OBJECT","EVENT_MMAP,EVENT_CONNECT",10.03,75.9,7.566
"890","EVENT_READ,EVENT_MMAP","EVENT_CREATE_OBJECT,EVENT_CONNECT",10.03,14.7,1.445
"891","EVENT_CONNECT","EVENT_READ,EVENT_MMAP,EVENT_CREATE_OBJECT",10.03,98.59,7.548
"892","EVENT_CREATE_OBJECT","EVENT_READ,EVENT_MMAP,EVENT_CONNECT",10.03,75.73,7.55
"893","EVENT_MMAP","EVENT_READ,EVENT_CREATE_OBJECT,EVENT_CONNECT",10.03,14.69,1.446
"894","EVENT_READ","EVENT_MMAP,EVENT_CREATE_OBJECT,EVENT_CONNECT",10.03,10.09,1.006
"895","EVENT_MMAP,EVENT_CREATE_OBJECT,EVENT_CLOSE","EVENT_READ",12.81,100,1.006
"896","EVENT_READ,EVENT_CREATE_OBJECT,EVENT_CLOSE","EVENT_MMAP",12.81,99.87,1.462
"897","EVENT_READ,EVENT_MMAP,EVENT_CLOSE","EVENT_CREATE_OBJECT",12.81,45.25,3.416
"898","EVENT_READ,EVENT_MMAP,EVENT_CREATE_OBJECT","EVENT_CLOSE",12.81,98.07,1.908
"899","EVENT_CREATE_OBJECT,EVENT_CLOSE","EVENT_READ,EVENT_MMAP",12.81,99.87,1.464
"900","EVENT_MMAP,EVENT_CLOSE","EVENT_READ,EVENT_CREATE_OBJECT",12.81,45.23,3.422
"901","EVENT_MMAP,EVENT_CREATE_OBJECT","EVENT_READ,EVENT_CLOSE",12.81,98.07,1.909
"902","EVENT_READ,EVENT_CLOSE","EVENT_MMAP,EVENT_CREATE_OBJECT",12.81,24.94,1.909
"903","EVENT_READ,EVENT_CREATE_OBJECT","EVENT_MMAP,EVENT_CLOSE",12.81,96.93,3.422
"904","EVENT_READ,EVENT_MMAP","EVENT_CREATE_OBJECT,EVENT_CLOSE",12.81,18.77,1.464
"905","EVENT_CLOSE","EVENT_READ,EVENT_MMAP,EVENT_CREATE_OBJECT",12.81,24.92,1.908
"906","EVENT_CREATE_OBJECT","EVENT_READ,EVENT_MMAP,EVENT_CLOSE",12.81,96.72,3.416
"907","EVENT_MMAP","EVENT_READ,EVENT_CREATE_OBJECT,EVENT_CLOSE",12.81,18.76,1.462
"908","EVENT_READ","EVENT_MMAP,EVENT_CREATE_OBJECT,EVENT_CLOSE",12.81,12.89,1.006
"909","EVENT_MMAP,EVENT_CREATE_OBJECT,EVENT_CHANGE_PRINCIPAL","EVENT_READ",12.06,100,1.006
"910","EVENT_READ,EVENT_CREATE_OBJECT,EVENT_CHANGE_PRINCIPAL","EVENT_MMAP",12.06,99.86,1.462
"911","EVENT_READ,EVENT_MMAP,EVENT_CHANGE_PRINCIPAL","EVENT_CREATE_OBJECT",12.06,95.64,7.221
"912","EVENT_READ,EVENT_MMAP,EVENT_CREATE_OBJECT","EVENT_CHANGE_PRINCIPAL",12.06,92.29,7.309
"913","EVENT_CREATE_OBJECT,EVENT_CHANGE_PRINCIPAL","EVENT_READ,EVENT_MMAP",12.06,99.81,1.463
"914","EVENT_MMAP,EVENT_CHANGE_PRINCIPAL","EVENT_READ,EVENT_CREATE_OBJECT",12.06,95.64,7.236
"915","EVENT_MMAP,EVENT_CREATE_OBJECT","EVENT_READ,EVENT_CHANGE_PRINCIPAL",12.06,92.29,7.312
"916","EVENT_READ,EVENT_CHANGE_PRINCIPAL","EVENT_MMAP,EVENT_CREATE_OBJECT",12.06,95.51,7.312
"917","EVENT_READ,EVENT_CREATE_OBJECT","EVENT_MMAP,EVENT_CHANGE_PRINCIPAL",12.06,91.22,7.236
"918","EVENT_READ,EVENT_MMAP","EVENT_CREATE_OBJECT,EVENT_CHANGE_PRINCIPAL",12.06,17.67,1.463
"919","EVENT_CHANGE_PRINCIPAL","EVENT_READ,EVENT_MMAP,EVENT_CREATE_OBJECT",12.06,95.47,7.309
"920","EVENT_CREATE_OBJECT","EVENT_READ,EVENT_MMAP,EVENT_CHANGE_PRINCIPAL",12.06,91.02,7.221
"921","EVENT_MMAP","EVENT_READ,EVENT_CREATE_OBJECT,EVENT_CHANGE_PRINCIPAL",12.06,17.65,1.462
"922","EVENT_READ","EVENT_MMAP,EVENT_CREATE_OBJECT,EVENT_CHANGE_PRINCIPAL",12.06,12.13,1.006
"923","EVENT_MMAP,EVENT_CLOSE,EVENT_CHANGE_PRINCIPAL","EVENT_READ",12.43,100,1.006
"924","EVENT_READ,EVENT_CLOSE,EVENT_CHANGE_PRINCIPAL","EVENT_MMAP",12.43,99.91,1.463
"925","EVENT_READ,EVENT_MMAP,EVENT_CHANGE_PRINCIPAL","EVENT_CLOSE",12.43,98.64,1.919
"926","EVENT_READ,EVENT_MMAP,EVENT_CLOSE","EVENT_CHANGE_PRINCIPAL",12.43,43.92,3.478
"927","EVENT_CLOSE,EVENT_CHANGE_PRINCIPAL","EVENT_READ,EVENT_MMAP",12.43,99.91,1.464
"928","EVENT_MMAP,EVENT_CHANGE_PRINCIPAL","EVENT_READ,EVENT_CLOSE",12.43,98.64,1.92
"929","EVENT_MMAP,EVENT_CLOSE","EVENT_READ,EVENT_CHANGE_PRINCIPAL",12.43,43.9,3.478
"930","EVENT_READ,EVENT_CHANGE_PRINCIPAL","EVENT_MMAP,EVENT_CLOSE",12.43,98.5,3.478
"931","EVENT_READ,EVENT_CLOSE","EVENT_MMAP,EVENT_CHANGE_PRINCIPAL",12.43,24.2,1.92
"932","EVENT_READ,EVENT_MMAP","EVENT_CLOSE,EVENT_CHANGE_PRINCIPAL",12.43,18.22,1.464
"933","EVENT_CHANGE_PRINCIPAL","EVENT_READ,EVENT_MMAP,EVENT_CLOSE",12.43,98.46,3.478
"934","EVENT_CLOSE","EVENT_READ,EVENT_MMAP,EVENT_CHANGE_PRINCIPAL",12.43,24.19,1.919
"935","EVENT_MMAP","EVENT_READ,EVENT_CLOSE,EVENT_CHANGE_PRINCIPAL",12.43,18.2,1.463
"936","EVENT_READ","EVENT_MMAP,EVENT_CLOSE,EVENT_CHANGE_PRINCIPAL",12.43,12.51,1.006
"937","EVENT_CREATE_OBJECT,EVENT_CONNECT,EVENT_CLOSE","EVENT_READ",10.01,100,1.006
"938","EVENT_READ,EVENT_CONNECT,EVENT_CLOSE","EVENT_CREATE_OBJECT",10.01,100,7.55
"939","EVENT_READ,EVENT_CREATE_OBJECT,EVENT_CLOSE","EVENT_CONNECT",10.01,78.02,7.668
"940","EVENT_READ,EVENT_CREATE_OBJECT,EVENT_CONNECT","EVENT_CLOSE",10.01,98.54,1.917
"941","EVENT_CONNECT,EVENT_CLOSE","EVENT_READ,EVENT_CREATE_OBJECT",10.01,100,7.566
"942","EVENT_CREATE_OBJECT,EVENT_CLOSE","EVENT_READ,EVENT_CONNECT",10.01,78.02,7.681
"943","EVENT_CREATE_OBJECT,EVENT_CONNECT","EVENT_READ,EVENT_CLOSE",10.01,98.37,1.915
"944","EVENT_READ,EVENT_CLOSE","EVENT_CREATE_OBJECT,EVENT_CONNECT",10.01,19.48,1.915
"945","EVENT_READ,EVENT_CONNECT","EVENT_CREATE_OBJECT,EVENT_CLOSE",10.01,98.54,7.681
"946","EVENT_READ,EVENT_CREATE_OBJECT","EVENT_CONNECT,EVENT_CLOSE",10.01,75.72,7.566
"947","EVENT_CLOSE","EVENT_READ,EVENT_CREATE_OBJECT,EVENT_CONNECT",10.01,19.47,1.917
"948","EVENT_CONNECT","EVENT_READ,EVENT_CREATE_OBJECT,EVENT_CLOSE",10.01,98.37,7.668
"949","EVENT_CREATE_OBJECT","EVENT_READ,EVENT_CONNECT,EVENT_CLOSE",10.01,75.56,7.55
"950","EVENT_READ","EVENT_CREATE_OBJECT,EVENT_CONNECT,EVENT_CLOSE",10.01,10.07,1.006
"951","EVENT_CREATE_OBJECT,EVENT_CLOSE,EVENT_CHANGE_PRINCIPAL","EVENT_READ",12.07,100,1.006
"952","EVENT_READ,EVENT_CLOSE,EVENT_CHANGE_PRINCIPAL","EVENT_CREATE_OBJECT",12.07,96.97,7.321
"953","EVENT_READ,EVENT_CREATE_OBJECT,EVENT_CHANGE_PRINCIPAL","EVENT_CLOSE",12.07,99.95,1.944
"954","EVENT_READ,EVENT_CREATE_OBJECT,EVENT_CLOSE","EVENT_CHANGE_PRINCIPAL",12.07,94.07,7.449
"955","EVENT_CLOSE,EVENT_CHANGE_PRINCIPAL","EVENT_READ,EVENT_CREATE_OBJECT",12.07,96.97,7.337
"956","EVENT_CREATE_OBJECT,EVENT_CHANGE_PRINCIPAL","EVENT_READ,EVENT_CLOSE",12.07,99.91,1.945
"957","EVENT_CREATE_OBJECT,EVENT_CLOSE","EVENT_READ,EVENT_CHANGE_PRINCIPAL",12.07,94.07,7.453
"958","EVENT_READ,EVENT_CHANGE_PRINCIPAL","EVENT_CREATE_OBJECT,EVENT_CLOSE",12.07,95.6,7.453
"959","EVENT_READ,EVENT_CLOSE","EVENT_CREATE_OBJECT,EVENT_CHANGE_PRINCIPAL",12.07,23.49,1.945
"960","EVENT_READ,EVENT_CREATE_OBJECT","EVENT_CLOSE,EVENT_CHANGE_PRINCIPAL",12.07,91.3,7.337
"961","EVENT_CHANGE_PRINCIPAL","EVENT_READ,EVENT_CREATE_OBJECT,EVENT_CLOSE",12.07,95.56,7.449
"962","EVENT_CLOSE","EVENT_READ,EVENT_CREATE_OBJECT,EVENT_CHANGE_PRINCIPAL",12.07,23.48,1.944
"963","EVENT_CREATE_OBJECT","EVENT_READ,EVENT_CLOSE,EVENT_CHANGE_PRINCIPAL",12.07,91.11,7.321
"964","EVENT_READ","EVENT_CREATE_OBJECT,EVENT_CLOSE,EVENT_CHANGE_PRINCIPAL",12.07,12.14,1.006
"965","EVENT_MMAP,EVENT_CREATE_OBJECT,EVENT_CONNECT","EVENT_LSEEK",10.03,100,1.463
"966","EVENT_LSEEK,EVENT_CREATE_OBJECT,EVENT_CONNECT","EVENT_MMAP",10.03,98.76,1.446
"967","EVENT_LSEEK,EVENT_MMAP,EVENT_CONNECT","EVENT_CREATE_OBJECT",10.03,100,7.55
"968","EVENT_LSEEK,EVENT_MMAP,EVENT_CREATE_OBJECT","EVENT_CONNECT",10.03,76.83,7.551
"969","EVENT_CREATE_OBJECT,EVENT_CONNECT","EVENT_LSEEK,EVENT_MMAP",10.03,98.59,1.446
"970","EVENT_MMAP,EVENT_CONNECT","EVENT_LSEEK,EVENT_CREATE_OBJECT",10.03,100,7.586
"971","EVENT_MMAP,EVENT_CREATE_OBJECT","EVENT_LSEEK,EVENT_CONNECT",10.03,76.8,7.561
"972","EVENT_LSEEK,EVENT_CONNECT","EVENT_MMAP,EVENT_CREATE_OBJECT",10.03,98.76,7.561
"973","EVENT_LSEEK,EVENT_CREATE_OBJECT","EVENT_MMAP,EVENT_CONNECT",10.03,76.1,7.586
"974","EVENT_LSEEK,EVENT_MMAP","EVENT_CREATE_OBJECT,EVENT_CONNECT",10.03,14.72,1.446
"975","EVENT_CONNECT","EVENT_LSEEK,EVENT_MMAP,EVENT_CREATE_OBJECT",10.03,98.59,7.551
"976","EVENT_CREATE_OBJECT","EVENT_LSEEK,EVENT_MMAP,EVENT_CONNECT",10.03,75.73,7.55
"977","EVENT_MMAP","EVENT_LSEEK,EVENT_CREATE_OBJECT,EVENT_CONNECT",10.03,14.69,1.446
"978","EVENT_LSEEK","EVENT_MMAP,EVENT_CREATE_OBJECT,EVENT_CONNECT",10.03,14.68,1.463
"979","EVENT_MMAP,EVENT_CREATE_OBJECT,EVENT_CLOSE","EVENT_LSEEK",12.81,99.96,1.463
"980","EVENT_LSEEK,EVENT_CREATE_OBJECT,EVENT_CLOSE","EVENT_MMAP",12.81,99.87,1.462
"981","EVENT_LSEEK,EVENT_MMAP,EVENT_CLOSE","EVENT_CREATE_OBJECT",12.81,45.33,3.422
"982","EVENT_LSEEK,EVENT_MMAP,EVENT_CREATE_OBJECT","EVENT_CLOSE",12.81,98.07,1.908
"983","EVENT_CREATE_OBJECT,EVENT_CLOSE","EVENT_LSEEK,EVENT_MMAP",12.81,99.82,1.464
"984","EVENT_MMAP,EVENT_CLOSE","EVENT_LSEEK,EVENT_CREATE_OBJECT",12.81,45.21,3.43
"985","EVENT_MMAP,EVENT_CREATE_OBJECT","EVENT_LSEEK,EVENT_CLOSE",12.81,98.03,3.467
"986","EVENT_LSEEK,EVENT_CLOSE","EVENT_MMAP,EVENT_CREATE_OBJECT",12.81,45.29,3.467
"987","EVENT_LSEEK,EVENT_CREATE_OBJECT","EVENT_MMAP,EVENT_CLOSE",12.81,97.14,3.43
"988","EVENT_LSEEK,EVENT_MMAP","EVENT_CREATE_OBJECT,EVENT_CLOSE",12.81,18.79,1.464
"989","EVENT_CLOSE","EVENT_LSEEK,EVENT_MMAP,EVENT_CREATE_OBJECT",12.81,24.91,1.908
"990","EVENT_CREATE_OBJECT","EVENT_LSEEK,EVENT_MMAP,EVENT_CLOSE",12.81,96.68,3.422
"991","EVENT_MMAP","EVENT_LSEEK,EVENT_CREATE_OBJECT,EVENT_CLOSE",12.81,18.75,1.462
"992","EVENT_LSEEK","EVENT_MMAP,EVENT_CREATE_OBJECT,EVENT_CLOSE",12.81,18.74,1.463
"993","EVENT_MMAP,EVENT_CREATE_OBJECT,EVENT_CHANGE_PRINCIPAL","EVENT_LSEEK",12.06,100,1.463
"994","EVENT_LSEEK,EVENT_CREATE_OBJECT,EVENT_CHANGE_PRINCIPAL","EVENT_MMAP",12.06,99.86,1.462
"995","EVENT_LSEEK,EVENT_MMAP,EVENT_CHANGE_PRINCIPAL","EVENT_CREATE_OBJECT",12.06,95.69,7.224
"996","EVENT_LSEEK,EVENT_MMAP,EVENT_CREATE_OBJECT","EVENT_CHANGE_PRINCIPAL",12.06,92.33,7.312
"997","EVENT_CREATE_OBJECT,EVENT_CHANGE_PRINCIPAL","EVENT_LSEEK,EVENT_MMAP",12.06,99.81,1.464
"998","EVENT_MMAP,EVENT_CHANGE_PRINCIPAL","EVENT_LSEEK,EVENT_CREATE_OBJECT",12.06,95.64,7.255
